FIPS_Code,Unemployed_2019
29137,161
29139,179
29141,350
29143,350
29145,887
29147,318
29149,156
29151,168
29153,197
29155,315
29157,263
29159,736
29161,643
29163,264
29165,"1,569"
29167,499
29169,598
29171,82
29173,176
29175,398
29177,398
29179,112
29181,276
29183,"5,769"
29185,170
29186,245
29187,977
29189,"16,206"
29195,338
29197,85
29199,72
29201,701
29203,177
29205,88
29207,610
29209,681
29211,92
29213,"1,375"
29215,398
29217,331
29219,530
29221,456
29223,252
29225,618
29227,31
29229,390
29510,"5,877"
30000,"19,352"
30001,155
30003,372
30005,92
30007,106
30009,197
30011,19
30013,"1,333"
30015,69
30017,179
30019,18
30021,115
30023,167
30025,31
30027,195
30029,"2,349"
30031,"1,635"
30033,19
30035,444
30037,15
30039,98
30041,292
30043,197
30045,31
30047,582
30049,"1,113"
30051,25
30053,612
30055,19
30057,159
30059,34
30061,104
30063,"2,134"
30065,91
30067,316
30069,10
30071,72
30073,103
30075,22
30077,111
30079,18
30081,857
30083,161
30085,201
30087,199
30089,299
30091,40
30093,674
30095,169
30097,52
30099,93
30101,52
30103,10
30105,134
30107,29
30109,13
30111,"2,720"
31000,"31,106"
31001,525
31003,89
31005,12
31007,14
31009,12
31011,79
31013,169
31015,35
31017,49
31019,716
31021,116
31023,117
31025,450
31027,111
31029,50
31031,79
31033,156
31035,103
31037,148
31039,121
31041,150
31043,410
31045,140
31047,385
31049,28
31051,90
31053,563
31055,"9,676"
31057,28
31059,80
31061,48
31063,51
31065,70
31067,383
31069,31
31071,30
31073,29
31075,11
31077,36
31079,"1,104"
31081,142
31083,49
31085,16
31087,41
31089,145
31091,12
31093,117
31095,111
31097,70
31099,83
31101,147
31103,15
31105,60
31107,135
31109,"4,836"
31111,621
31113,14
31115,17
31117,11
31119,543
31121,127
31123,73
31125,59
31127,130
31129,64
31131,264
31133,41
31135,40
31137,128
31139,108
31141,509
31143,80
31145,155
31147,133
31149,26
31151,237
31153,"2,771"
31155,309
31157,660
31159,257
31161,73
31163,53
31165,20
31167,89
31169,71
31171,15
31173,136
31175,68
31177,322
31179,148
31181,56
31183,15
31185,190
32000,"61,152"
32001,397
32003,"46,671"
32005,925
32007,820
32009,17
32011,26
32013,245
32015,103
32017,84
32019,"1,126"
32021,82
32023,901
32027,104
32029,78
32031,"8,387"
32033,140
32510,"1,047"
33000,"20,117"
33001,813
33003,621
33005,"1,081"
33007,477
33009,"1,120"
33011,"6,509"
33013,"1,932"
33015,"5,231"
33017,"1,788"
33019,542
34000,"154,927"
34001,"5,918"
34003,"13,635"
34005,"7,329"
34007,"9,936"
34009,"3,186"
34011,"3,450"
34013,"15,941"
34015,"5,341"
34017,"11,435"
34019,"1,723"
34021,"6,219"
34023,"13,202"
34025,"10,115"
34027,"7,005"
34029,"9,872"
34031,"10,133"
34033,"1,364"
34035,"4,979"
34037,"2,460"
34039,"9,867"
34041,"1,817"
35000,"48,313"
35001,"15,427"
35003,74
35005,"1,381"
35006,585
35007,266
35009,927
35011,35
35013,"5,792"
35015,"1,110"
35017,606
35019,85
35021,13
35023,92
35025,"1,295"
35027,430
35028,316
35029,"1,307"
35031,"1,759"
35033,138
35035,"1,279"
35037,174
35039,919
35041,364
35043,"3,359"
35045,"3,079"
35047,646
35049,"3,089"
35051,271
35053,390
35055,948
35057,396
35059,66
35061,"1,695"
36000,"363,852"
36001,"5,470"
36003,"1,012"
36005,"31,350"
36007,"3,771"
36009,"1,629"
36011,"1,466"
36013,"2,443"
36015,"1,402"
36017,933
36019,"1,511"
36021,955
36023,"1,070"
36025,856
36027,"4,982"
36029,"17,949"
36031,766
36033,922
36035,"1,085"
36037,"1,117"
36039,865
36041,126
36043,"1,310"
36045,"2,338"
36047,"47,683"
36049,614
36051,"1,245"
36053,"1,410"
36055,"14,381"
36057,"1,082"
36059,"23,267"
36061,"31,444"
36063,"4,668"
36065,"4,143"
36067,"8,280"
36069,"2,058"
36071,"6,755"
36073,791
36075,"2,741"
36077,"1,133"
36079,"1,805"
36081,"38,525"
36083,"2,922"
36085,"8,448"
36087,"5,293"
36089,"2,294"
36091,"3,849"
36093,"2,799"
36095,652
36097,358
36099,585
36101,"1,859"
36103,"27,535"
36105,"1,383"
36107,899
36109,"1,714"
36111,"3,154"
36113,"1,367"
36115,"1,084"
36117,"1,686"
36119,"17,438"
36121,760
36123,425
37000,"191,881"
37001,"3,084"
37003,583
37005,203
37007,435
37009,463
37011,273
37013,873
37015,362
37017,676
37019,"2,809"
37021,"4,138"
37023,"1,490"
37025,"3,868"
37027,"1,442"
37029,175
37031,"1,295"
37033,432
37035,"2,770"
37037,"1,197"
37039,490
37041,251
37043,184
37045,"1,883"
37047,"1,100"
37049,"1,651"
37051,"6,402"
37053,499
37055,924
37057,"2,914"
37059,686
37061,996
37063,"5,794"
37065,"1,218"
37067,"6,916"
37069,"1,251"
37071,"4,209"
37073,208
37075,170
37077,997
37079,348
37081,"10,590"
37083,"1,131"
37085,"2,411"
37087,997
37089,"1,785"
37091,462
37093,976
37095,162
37097,"3,189"
37099,812
37101,"3,600"
37103,164
37105,"1,146"
37107,"1,033"
37109,"1,519"
37111,779
37113,597
37115,361
37117,442
37119,"22,334"
37121,270
37123,448
37125,"1,593"
37127,"2,035"
37129,"4,355"
37131,389
37133,"2,916"
37135,"2,623"
37137,198
37139,756
37141,"1,123"
37143,242
37145,758
37147,"3,717"
37149,334
37151,"2,447"
37153,850
37155,"2,622"
37157,"1,728"
37159,"2,605"
37161,"1,208"
37163,"1,091"
37165,740
37167,"1,099"
37169,762
37171,"1,207"
37173,273
37175,533
37177,84
37179,"4,245"
37181,980
37183,"19,765"
37185,366
37187,252
37189,"1,004"
37191,"2,092"
37193,"1,153"
37195,"1,968"
37197,597
37199,309
38000,"9,521"
38001,22
38003,155
38005,94
38007,11
38009,96
38011,28
38013,24
38015,"1,177"
38017,"2,067"
38019,51
38021,43
38023,20
38025,51
38027,53
38029,58
38031,41
38033,15
38035,758
38037,26
38039,25
38041,26
38043,50
38045,42
38047,19
38049,105
38051,33
38053,166
38055,146
38057,148
38059,477
38061,101
38063,42
38065,32
38067,112
38069,54
38071,162
38073,48
38075,29
38077,199
38079,373
38081,47
38083,29
38085,46
38087,9
38089,374
38091,20
38093,233
38095,31
38097,114
38099,166
38101,774
38103,57
38105,446
39000,"243,233"
39001,746
39003,"1,959"
39005,"1,127"
39007,"2,156"
39009,"1,485"
39011,760
39013,"1,707"
39015,986
39017,"7,491"
39019,649
39021,754
39023,"2,765"
39025,"4,067"
39027,844
39029,"2,316"
39031,854
39033,864
39035,"26,321"
39037,959
39039,777
39041,"3,583"
39043,"1,866"
39045,"2,971"
39047,546
